Song_id,History_id,Played_at,Duration_played,User_id
14466,1,2013-07-08 02:44:00,3185,993
2306,2,2013-07-08 02:45:00,61865,324
7978,3,2013-07-08 02:50:00,285386,835
7979,4,2013-07-08 02:52:00,134022,260
4165,5,2013-07-08 03:17:00,0,645
5936,6,2013-07-08 03:17:00,63485,755
8907,7,2013-07-08 03:17:00,0,558
11636,8,2013-07-08 03:17:00,1268,425
12025,9,2013-07-08 03:17:00,0,371
7272,10,2013-07-08 03:19:00,0,335
15728,11,2013-07-08 03:20:00,67587,922
8904,12,2013-07-08 03:20:00,12846,850
4104,13,2013-07-08 03:21:00,36132,966
940,14,2013-07-08 03:22:00,95817,145
8925,15,2013-07-08 03:22:00,1763,707
8926,16,2013-07-08 03:33:00,45712,935
8924,17,2013-07-08 03:37:00,228021,226
8922,18,2013-07-08 03:41:00,229589,76
8923,19,2013-07-08 03:41:00,7332,721
10656,20,2013-07-08 03:45:00,217935,532
4590,21,2013-07-08 03:46:00,76303,856
4588,22,2013-07-08 03:51:00,10579,172
6606,23,2013-07-08 03:55:00,0,814
6531,24,2013-07-08 03:57:00,81893,226
6532,25,2013-07-08 03:59:00,0,203
6595,26,2013-07-08 04:03:00,238837,205
6625,27,2013-07-08 04:07:00,230216,835
6663,28,2013-07-08 04:10:00,0,627
6662,29,2013-07-08 04:13:00,165694,483
6593,30,2013-07-08 04:17:00,237896,335
6594,31,2013-07-08 04:18:00,78943,890
6669,32,2013-07-08 04:18:00,2301,352
6606,33,2013-07-08 04:23:00,257591,835
6544,34,2013-07-08 04:27:00,269661,392
6543,35,2013-07-08 04:31:00,250368,335
6554,36,2013-07-08 04:35:00,228126,418
6553,37,2013-07-08 04:39:00,250069,299
6623,38,2013-07-08 04:44:00,249651,729
6675,39,2013-07-08 04:49:00,345625,461
6555,40,2013-07-08 04:50:00,8308,241
6669,41,2013-07-08 04:50:00,0,916
6547,42,2013-07-08 04:50:00,1375,342
15596,43,2013-07-08 04:51:00,56644,498
8004,44,2013-07-08 04:55:00,236042,916
8004,45,2013-07-08 04:59:00,236042,589
8004,46,2013-07-08 05:02:00,192559,139
2829,47,2013-07-08 05:02:00,320,935
2830,48,2013-07-08 05:02:00,0,590
2849,49,2013-07-08 05:02:00,0,335
2841,50,2013-07-08 05:02:00,0,171
2791,51,2013-07-08 05:02:00,1295,812
2827,52,2013-07-08 05:02:00,0,582
2791,53,2013-07-08 05:02:00,861,487
14295,54,2013-07-08 05:04:00,99186,916
14296,55,2013-07-08 05:08:00,158275,808
14298,56,2013-07-08 05:11:00,133197,192
14290,57,2013-07-08 05:13:00,0,308
14294,58,2013-07-08 05:16:00,208901,257
14299,59,2013-07-08 05:19:00,0,725
14297,60,2013-07-08 05:22:00,169246,53
14292,61,2013-07-08 05:25:00,189578,528
14293,62,2013-07-08 05:29:00,0,760
14291,63,2013-07-08 05:37:00,196552,889
14291,64,2013-07-08 05:38:00,0,335
6606,65,2013-07-08 05:47:00,257591,835
6544,66,2013-07-09 00:42:00,20825,137
5670,67,2013-07-09 00:46:00,191430,862
10060,68,2013-07-09 00:50:00,222536,151
10062,69,2013-07-09 00:50:00,279,357
14780,70,2013-07-09 00:50:00,863,819
14782,71,2013-07-09 00:52:00,143150,188
10656,72,2013-07-09 00:53:00,6940,241
15773,73,2013-07-09 00:53:00,1396,690
15763,74,2013-07-09 00:56:00,194533,686
15774,75,2013-07-09 00:56:00,5996,603
15773,76,2013-07-09 01:01:00,277341,668
15768,77,2013-07-09 01:04:00,198388,496
14033,78,2013-07-09 01:05:00,638,260
14042,79,2013-07-09 01:06:00,86897,335
11547,80,2013-07-09 01:08:00,101392,226
11488,81,2013-07-09 01:08:00,14361,916
4483,82,2013-07-09 01:10:00,85435,543
15407,83,2013-07-09 01:12:00,127921,362
15404,84,2013-07-09 01:15:00,171598,416
15406,85,2013-07-09 01:15:00,20402,939
4105,86,2013-07-09 01:19:00,196702,195
7328,87,2013-07-09 01:26:00,436965,546
4105,88,2013-07-09 01:26:00,431,463
6606,89,2013-07-09 01:30:00,257591,576
5936,90,2013-07-09 01:34:00,209423,31
940,91,2013-07-09 01:36:00,154347,884
15773,92,2013-07-09 01:37:00,0,926
4483,93,2013-07-09 01:37:00,0,520
7328,94,2013-07-09 01:37:00,0,671
4105,95,2013-07-10 05:11:00,1826,916
6675,96,2013-07-10 07:37:00,345626,684
10653,97,2013-07-10 08:28:00,50952,194
10660,98,2013-07-10 08:30:00,147536,534
6984,99,2013-07-10 08:34:00,245346,572
6985,100,2013-07-10 08:49:00,4643,375
8321,101,2013-07-11 00:25:00,96173,715
7328,102,2013-07-11 05:12:00,360354,928
7328,103,2013-07-12 01:04:00,1011,920
6675,104,2013-07-13 03:47:00,1012,401
6606,105,2013-07-13 03:51:00,257626,139
6605,106,2013-07-13 03:55:00,216093,989
6542,107,2013-07-13 04:05:00,332066,856
6684,108,2013-07-13 04:10:00,263373,146
6535,109,2013-07-13 04:15:00,286266,916
6540,110,2013-07-13 04:24:00,548893,881
6537,111,2013-07-13 20:57:00,1020,481
7328,112,2013-07-13 21:00:00,205051,553
6606,113,2013-07-13 21:04:00,255388,359
15768,114,2013-07-13 21:08:00,238122,62
14782,115,2013-07-13 21:14:00,111920,335
8004,116,2013-08-02 20:29:00,236053,828
7981,117,2013-08-02 20:34:00,265427,10
7978,118,2013-08-02 20:39:00,285400,335
7982,119,2013-08-02 20:43:00,281960,358
7977,120,2013-08-02 20:46:00,154028,489
13928,121,2013-08-02 20:46:00,5015,916
13712,122,2013-08-02 20:47:00,36811,335
7978,123,2013-08-02 20:47:00,3508,335
